year,longitude,latitude,fish_type
2012.0,-64.1852500000,49.0183333300,capelin
2012.0,-64.0945000000,49.0228333300,capelin
2012.0,-62.8792500000,48.8827500000,capelin
2012.0,-62.7600000000,48.8218333300,capelin
2012.0,-62.5291666700,48.8938333300,capelin
2012.0,-61.5859166700,48.7565000000,capelin
2012.0,-61.3310833300,48.8440000000,capelin
2012.0,-60.8561666700,48.6120833300,capelin
2012.0,-60.2398333300,48.5724166700,capelin
2012.0,-60.4755833300,48.8286666700,capelin
2012.0,-60.3757500000,48.8665000000,capelin
2012.0,-60.1949166700,48.8728333300,capelin
2012.0,-60.1122500000,48.9483333300,capelin
2012.0,-60.3160000000,49.0151666700,capelin
2012.0,-60.1277500000,49.4383333300,capelin
2012.0,-60.1040000000,49.5227500000,capelin
2012.0,-60.1720000000,49.5489166700,capelin
2012.0,-60.2168333300,49.7860833300,capelin
2012.0,-60.1768333300,49.8128333300,capelin
2012.0,-60.1331666700,49.8943333300,capelin
2012.0,-59.3700000000,49.9310833300,capelin
2012.0,-59.3545833300,49.9842500000,capelin
2012.0,-59.3497500000,50.0110833300,capelin
2012.0,-59.0250833300,49.8031666700,capelin
2012.0,-58.8784166700,49.9147500000,capelin
2012.0,-58.3331666700,50.1624166700,capelin
2012.0,-58.3978333300,50.2993333300,capelin
2012.0,-58.4041666700,50.3760000000,capelin
2012.0,-58.4176666700,50.4638333300,capelin
2012.0,-58.3059166700,50.4893333300,capelin
2012.0,-57.6835000000,50.8760000000,capelin
2012.0,-57.3140833300,51.0621666700,capelin
2012.0,-57.3184166700,51.0513333300,capelin
2012.0,-56.4104166700,51.6266666700,capelin
2012.0,-56.2000833300,51.6507500000,capelin
2012.0,-55.6165000000,52.0871666700,capelin
2012.0,-55.4770000000,52.2177500000,capelin
2012.0,-55.4830833300,52.0180000000,capelin
2012.0,-55.8620833300,51.8783333300,capelin
2012.0,-56.0541666700,51.7606666700,capelin
2012.0,-56.1317500000,51.7415833300,capelin
2012.0,-57.3754166700,50.7935000000,capelin
2012.0,-57.5074166700,50.5808333300,capelin
2012.0,-57.6642500000,50.7314166700,capelin
2012.0,-57.9731666700,50.5685000000,capelin
2012.0,-57.7392500000,50.5453333300,capelin
2012.0,-57.6393333300,50.3865000000,capelin
2012.0,-58.0700833300,50.3882500000,capelin
2012.0,-58.1802500000,50.3405833300,capelin
2012.0,-58.1994166700,50.1432500000,capelin
2012.0,-58.0276666700,50.0876666700,capelin
2012.0,-58.2269166700,49.5569166700,capelin
2012.0,-59.0446666700,49.5559166700,capelin
2012.0,-59.5839166700,49.3116666700,capelin
2012.0,-59.7853333300,49.2344166700,capelin
2012.0,-58.9472500000,48.3506666700,capelin
2012.0,-59.3178333300,48.1189166700,capelin
2012.0,-59.9809166700,48.3676666700,capelin
2012.0,-60.6925000000,47.8280833300,capelin
2012.0,-60.9032500000,48.3925000000,capelin
2012.0,-61.0186666700,48.0213333300,capelin
2012.0,-61.3746666700,48.1866666700,capelin
2012.0,-61.3786666700,48.4543333300,capelin
2012.0,-61.5281666700,48.5082500000,capelin
2012.0,-61.7194166700,48.4877500000,capelin
2012.0,-61.6556666700,48.3140000000,capelin
