data_date,latitude,longitude,depth,temperature,salinity
8/11/2009,48.38,-62.57,200,3.954999924,33.94400024
8/14/2009,48.75,-63.17,300,5.31799984,34.6629982
8/9/2009,48.68,-68.59,200,4.418000221,34.19200134
5/6/2009,50,-66.54,100,-1.190999985,32.23699951
8/9/2009,48.68,-68.59,200,4.521999836,34.23699951
8/29/2009,49.27,-64.89,0,10.35700035,29.28899956
6/14/2009,47.4,-57.75,100,2.502000093,33.41500092
8/21/2009,49.83,-61.36,100,0.717999995,33.02899933
8/7/2009,50.6,-57.64,100,-0.112000003,32.34999847
6/14/2009,47.4,-57.75,100,1.981999993,33.23500061
8/1/2009,48.08,-60.7,200,5.080999851,34.3769989
8/4/2009,48.67,-68.56,200,4.747000217,34.3409996
6/11/2009,46.83,-61.25,100,-0.244000003,31.75300026
7/30/2009,47.74,-60.06,100,0.546999991,32.54100037
8/23/2009,48.61,-63.79,0,4.647999763,30.93600082
7/28/2009,47,-63.72,0,17.64100075,27.8409996
5/3/2009,48.66,-68.59,100,-0.596000016,31.69099998
6/17/2009,48.22,-69.89,0,2.677999973,28.79199982
6/17/2009,48.17,-61.25,300,5.342999935,34.56999969
6/10/2009,48.5,-61.3,100,3.355999947,33.76300049
8/26/2009,48.23,-64.43,0,8.156000137,29.98699951
9/4/2009,47.37,-63.61,0,16.54100037,28.34799957
6/11/2009,46.49,-61.3,0,9.633999825,29.22200012
6/18/2009,48.57,-62.76,200,4.788000107,34.28300095
8/12/2009,48.53,-63.12,100,4.138999939,34.01900101
8/29/2009,49.18,-66.67,0,9.973999977,29.65500069
9/2/2009,47.63,-63.29,0,12.84500027,29.34700012
6/14/2009,47.38,-57.25,200,4.876999855,34.27000046
8/16/2009,49.09,-63.74,100,0.657999992,32.89699936
8/29/2009,49.24,-66.2,0,0.340999991,32.21099854
7/28/2009,47.11,-63.71,0,17.41699982,28.01000023
9/24/2009,46.85,-60.94,0,14.95899963,28.72100067
7/30/2009,47.27,-59.78,0,17.23600006,29.68700027
7/14/2009,48.68,-68.58,100,2.770999908,33.59199905
8/14/2009,48.75,-63.17,300,5.318999767,34.66400146
8/2/2009,48.45,-59.56,0,3.732000113,31.68000031
8/20/2009,49.96,-63.9,0,5.357999802,31.46899986
6/24/2009,50.24,-65.95,0,11.86499977,29.3920002
6/7/2009,48.69,-68.55,200,3.698999882,33.9109993
8/12/2009,48.53,-63.27,0,2.836999893,31.41900063
8/21/2009,49.83,-61.36,100,1.036000013,33.11399841
6/17/2009,47.5,-60.75,0,8.645999908,31.16300011
8/8/2009,50.57,-58.01,100,1.475000024,33.13700104
6/20/2009,48.37,-68.99,0,3.903000116,28.36700058
7/30/2009,47.74,-60.06,0,16.99099922,30.55500031
8/7/2009,50.52,-57.52,100,0.097999997,32.64300156
8/19/2009,50.04,-65.03,0,2.948999882,31.5510006
7/14/2009,48.68,-68.58,100,2.778000116,33.5929985
8/17/2009,49.75,-65.06,200,4.165999889,34.08399963
8/26/2009,48.88,-68.68,100,0.916999996,32.01900101
6/5/2009,49.24,-66.19,0,0.240999997,31.72299957
7/11/2009,49.7,-66.26,100,3.176000118,33.71500015
6/23/2009,49.62,-66.71,100,3.299999952,33.77099991
5/10/2009,48.67,-68.57,100,2.976000071,33.65399933
9/14/2009,48.67,-68.58,0,6.954999924,27.25200081
8/5/2009,49.25,-59.46,200,3.239000082,33.72000122
8/4/2009,48.67,-68.56,300,5.028999805,34.45399857
8/2/2009,48.21,-59.09,0,17.46899986,30.57500076
5/3/2009,48.66,-68.59,0,2.020999908,27.61000061
6/4/2009,48.67,-68.57,300,4.725999832,34.31499863
