,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
31,2010,"(300, 400]",7.026,35.086,-0.6580000000000004,-0.06400000000000006,-0.6580000000000004,-0.06400000000000006
32,2011,"(300, 400]",6.303,35.03,-1.3810000000000002,-0.11999999999999744,-0.7229999999999999,-0.055999999999997385
33,2012,"(300, 400]",6.82,35.076,-0.8639999999999999,-0.07399999999999807,0.5170000000000003,0.045999999999999375
34,2013,"(300, 400]",6.479,35.054,-1.205,-0.09599999999999653,-0.3410000000000002,-0.021999999999998465
35,2014,"(300, 400]",6.858,35.073,-0.8260000000000005,-0.07699999999999818,0.37899999999999956,0.01899999999999835
36,2015,"(300, 400]",7.027,35.106,-0.657,-0.04399999999999693,0.16900000000000048,0.03300000000000125
37,2016,"(300, 400]",7.494,35.158,-0.1900000000000004,0.008000000000002672,0.46699999999999964,0.0519999999999996
38,2017,"(300, 400]",7.833,35.161,0.14900000000000002,0.011000000000002785,0.3390000000000004,0.0030000000000001137
39,2018,"(300, 400]",8.1,35.188,0.4159999999999995,0.03800000000000381,0.26699999999999946,0.027000000000001023
40,2009,"(400, 500]",7.165,35.138,0.0,0.0,0.0,0.0
41,2010,"(400, 500]",6.433,35.067,-0.7320000000000002,-0.07099999999999795,-0.7320000000000002,-0.07099999999999795
42,2011,"(400, 500]",5.862,35.021,-1.303,-0.11699999999999733,-0.5709999999999997,-0.045999999999999375
43,2012,"(400, 500]",6.346,35.072,-0.819,-0.0659999999999954,0.484,0.05100000000000193
44,2013,"(400, 500]",6.05,35.041,-1.1150000000000002,-0.09700000000000131,-0.29600000000000026,-0.03100000000000591
45,2014,"(400, 500]",6.382,35.062,-0.7830000000000004,-0.07600000000000051,0.33199999999999985,0.021000000000000796
46,2015,"(400, 500]",6.415,35.072,-0.75,-0.0659999999999954,0.03300000000000036,0.010000000000005116
47,2016,"(400, 500]",6.8,35.123,-0.3650000000000002,-0.015000000000000568,0.3849999999999998,0.05099999999999483
48,2017,"(400, 500]",7.054,35.118,-0.11099999999999977,-0.01999999999999602,0.25400000000000045,-0.0049999999999954525
49,2018,"(400, 500]",7.384,35.134,0.2190000000000003,-0.003999999999997783,0.33000000000000007,0.015999999999998238
50,2009,"(500, 600]",6.554,35.08,0.0,0.0,0.0,0.0
51,2010,"(500, 600]",5.828,35.016,-0.726,-0.06400000000000006,-0.726,-0.06400000000000006
52,2011,"(500, 600]",5.378,34.982,-1.1760000000000002,-0.09799999999999898,-0.4500000000000002,-0.03399999999999892
53,2012,"(500, 600]",5.778,35.024,-0.7760000000000007,-0.055999999999997385,0.39999999999999947,0.04200000000000159
54,2013,"(500, 600]",5.545,35.0,-1.0090000000000003,-0.0799999999999983,-0.23299999999999965,-0.02400000000000091
55,2014,"(500, 600]",5.826,35.015,-0.7280000000000006,-0.06499999999999773,0.2809999999999997,0.015000000000000568
56,2015,"(500, 600]",5.803,35.02,-0.7510000000000003,-0.05999999999999517,-0.022999999999999687,0.005000000000002558
57,2016,"(500, 600]",6.152,35.074,-0.40200000000000014,-0.006000000000000227,0.3490000000000002,0.05399999999999494
58,2017,"(500, 600]",6.299,35.06,-0.2549999999999999,-0.01999999999999602,0.14700000000000024,-0.013999999999995794
59,2018,"(500, 600]",6.616,35.065,0.06199999999999939,-0.015000000000000568,0.3169999999999993,0.0049999999999954525
60,2009,"(600, 700]",5.929,35.026,0.0,0.0,0.0,0.0
61,2010,"(600, 700]",5.285,34.976,-0.6440000000000001,-0.05000000000000426,-0.6440000000000001,-0.05000000000000426
62,2011,"(600, 700]",4.962,34.951,-0.9670000000000005,-0.07500000000000284,-0.3230000000000004,-0.02499999999999858
